                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.40324,                0.41687,                0.90637,                0.95267,                0.72006,                0.76661,                0.71177,                 1.0736,                 1.3026,                 1.6805,              0.0011885,              0.0011885,              0.0011885
                     36,                 0.3997,                0.39476,                0.91012,                0.97461,                0.76528,                0.77282,                0.72467,                 1.0487,                 1.1121,                 1.5648,              0.0011814,              0.0011814,              0.0011814
                     37,                0.39283,                0.37082,                 0.8869,                0.91732,                0.72529,                0.75006,                0.69811,                0.97441,                  1.286,                 1.4955,              0.0011744,              0.0011744,              0.0011744
                     38,                 0.3948,                0.37094,                0.90466,                0.98246,                0.76528,                0.78126,                0.70502,                0.98943,                 1.1864,                 1.5233,              0.0011673,              0.0011673,              0.0011673
                     39,                0.39612,                0.36847,                0.89696,                0.97322,                0.71224,                0.77728,                0.69725,                 1.0186,                 1.2096,                 1.6856,              0.0011602,              0.0011602,              0.0011602
                     40,                0.40097,                0.37545,                0.90248,                 0.9834,                 0.7719,                0.77563,                0.70562,                 0.9949,                  1.082,                 1.5311,              0.0011531,              0.0011531,              0.0011531
                     41,                0.37304,                0.33664,                0.88611,                0.99522,                0.76528,                0.76991,                0.71205,                 0.9964,                 1.1258,                 1.5273,              0.0011461,              0.0011461,              0.0011461
                     42,                0.38408,                0.35475,                 0.8898,                0.99673,                0.76528,                0.77668,                0.72303,                0.98396,                  1.004,                 1.5418,               0.001139,               0.001139,               0.001139
                     43,                 0.3746,                0.34754,                0.91397,                0.94573,                0.75694,                0.77945,                0.73003,                0.97225,                 1.2036,                 1.5567,              0.0011319,              0.0011319,              0.0011319
                     44,                0.36479,                 0.3302,                0.88682,                0.94801,                0.71311,                0.77602,                0.74142,                0.91391,                 1.3348,                 1.5098,              0.0011248,              0.0011248,              0.0011248
                     45,                0.36431,                0.33296,                0.89335,                0.97838,                0.76528,                0.77887,                0.73055,                  0.837,                 1.0756,                 1.4349,              0.0011178,              0.0011178,              0.0011178
                     46,                0.36326,                0.32895,                0.89425,                0.99489,                0.76528,                0.77309,                0.71861,                 0.8485,                 1.1518,                 1.4204,              0.0011107,              0.0011107,              0.0011107
                     47,                0.37446,                0.33256,                0.89946,                0.92153,                0.74626,                  0.777,                0.72487,                0.90579,                 1.3362,                 1.4516,              0.0011036,              0.0011036,              0.0011036
                     48,                0.37486,                  0.338,                0.89897,                0.97613,                0.76528,                0.79557,                  0.753,                0.90476,                 1.2793,                 1.4614,              0.0010965,              0.0010965,              0.0010965
                     49,                 0.3816,                0.36257,                0.91337,                0.98996,                0.76528,                0.77716,                 0.7245,                0.97397,                 1.1619,                 1.5354,              0.0010895,              0.0010895,              0.0010895
                     50,                0.36451,                0.34162,                0.89054,                0.89019,                 0.7555,                0.78747,                0.74207,                0.89948,                 1.2631,                 1.4831,              0.0010824,              0.0010824,              0.0010824
                     51,                0.35826,                0.34778,                 0.8936,                0.97008,                0.77659,                0.79444,                0.75313,                0.94223,                 1.0305,                 1.4953,              0.0010753,              0.0010753,              0.0010753
                     52,                0.36321,                0.33974,                0.89421,                0.99276,                0.77361,                0.78416,                0.73365,                 1.0295,                 1.1324,                 1.5559,              0.0010682,              0.0010682,              0.0010682
                     53,                0.36374,                 0.3311,                0.89034,                0.99067,                0.76528,                0.78736,                0.72817,                 1.0515,                 1.0248,                 1.6017,              0.0010612,              0.0010612,              0.0010612
                     54,                0.35719,                0.32753,                0.89874,                0.95854,                 0.7453,                0.78459,                0.74004,                0.93609,                 1.0952,                 1.4622,              0.0010541,              0.0010541,              0.0010541
                     55,                0.34692,                0.32484,                0.88109,                0.95808,                0.74861,                0.77954,                0.71653,                0.95379,                 1.0867,                 1.4672,               0.001047,               0.001047,               0.001047
                     56,                0.33558,                0.31495,                0.87881,                0.99614,                0.76528,                0.78714,                0.73996,                 1.0098,                 1.0948,                 1.5623,                0.00104,                0.00104,                0.00104
                     57,                0.34378,                0.32568,                0.87589,                 0.9831,                0.76345,                0.77653,                0.73168,                 1.0179,                 1.0512,                 1.6135,              0.0010329,              0.0010329,              0.0010329
                     58,                 0.3426,                0.30822,                0.89181,                0.98344,                0.76528,                0.77536,                0.74064,                 1.0254,                 1.0211,                 1.6367,              0.0010258,              0.0010258,              0.0010258
                     59,                0.32827,                0.31468,                0.87862,                0.97523,                0.77361,                0.78434,                0.74177,                0.88179,                 1.0963,                 1.4915,              0.0010187,              0.0010187,              0.0010187
                     60,                0.33485,                0.30206,                0.89236,                0.98535,                0.77361,                0.78559,                0.75173,                 0.8874,                 1.2015,                 1.4901,              0.0010117,              0.0010117,              0.0010117
                     61,                0.33061,                0.29474,                0.88192,                0.96499,                 0.7554,                0.78887,                0.74988,                0.90287,                 1.1808,                 1.5041,              0.0010046,              0.0010046,              0.0010046
                     62,                0.33413,                0.30986,                0.89052,                0.96068,                0.71592,                0.78796,                0.75443,                0.90401,                 1.0699,                 1.4682,             0.00099751,             0.00099751,             0.00099751
                     63,                0.33296,                0.29772,                0.88682,                0.97733,                0.76528,                0.78381,                0.74955,                0.94116,                 1.1194,                 1.5078,             0.00099044,             0.00099044,             0.00099044
                     64,                 0.3172,                0.28894,                0.87213,                0.99248,                0.76528,                0.79021,                0.76431,                0.90529,                 1.0356,                 1.4889,             0.00098337,             0.00098337,             0.00098337
                     65,                0.32294,                0.28421,                0.88737,                0.96498,                0.77361,                0.80059,                 0.7724,                0.95331,                 1.1037,                  1.591,             0.00097629,             0.00097629,             0.00097629
                     66,                0.33066,                0.30235,                0.88988,                0.98758,                0.75694,                0.78379,                0.74281,                 1.0368,                0.98172,                  1.681,             0.00096922,             0.00096922,             0.00096922
                     67,                0.33062,                0.31382,                0.89202,                0.98231,                0.75674,                0.79141,                0.74516,                0.99398,                 1.1155,                 1.6043,             0.00096215,             0.00096215,             0.00096215
                     68,                0.32146,                0.28579,                0.88338,                0.98731,                0.76421,                0.78043,                0.74633,                0.88815,                 1.1629,                 1.4759,             0.00095507,             0.00095507,             0.00095507
                     69,                0.31239,                0.27336,                0.87841,                0.86193,                0.76528,                0.77563,                0.71835,                0.89985,                 1.4068,                 1.5068,               0.000948,               0.000948,               0.000948
                     70,                0.33659,                 0.2848,                0.90152,                0.96429,                0.76528,                0.79067,                0.74516,                0.87656,                  1.182,                 1.5039,             0.00094093,             0.00094093,             0.00094093
                     71,                0.33046,                 0.2831,                0.88086,                0.99269,                0.78403,                0.80284,                0.77005,                0.84791,                 1.0985,                 1.4818,             0.00093385,             0.00093385,             0.00093385
                     72,                0.31743,                0.27281,                0.86582,                0.98081,                0.76538,                0.80744,                 0.7745,                0.85114,                 1.0996,                 1.4579,             0.00092678,             0.00092678,             0.00092678
                     73,                0.30783,                0.27085,                0.86921,                0.97597,                0.76578,                0.80269,                0.77763,                0.88208,                0.96929,                 1.4391,              0.0009197,              0.0009197,              0.0009197
                     74,                0.30157,                0.27206,                0.86644,                0.97228,                0.77361,                0.78234,                0.73954,                0.94856,                 1.2473,                 1.5182,             0.00091263,             0.00091263,             0.00091263
                     75,                0.31694,                 0.2849,                0.88173,                0.95258,                0.76528,                0.77666,                0.73453,                 1.0735,                 1.1953,                 1.7367,             0.00090556,             0.00090556,             0.00090556
                     76,                 0.3289,                0.28239,                0.87757,                0.97767,                0.76528,                0.78365,                0.74995,                 1.0829,                 1.1736,                 1.6756,             0.00089848,             0.00089848,             0.00089848
                     77,                0.31303,                0.28171,                0.88173,                 0.9922,                0.76528,                0.78903,                0.75502,                0.97253,                 1.2571,                  1.547,             0.00089141,             0.00089141,             0.00089141
                     78,                0.28658,                0.27055,                0.86332,                0.97884,                0.76528,                0.79872,                0.76002,                 1.0066,                 1.1996,                 1.6343,             0.00088434,             0.00088434,             0.00088434
                     79,                0.29596,                0.26874,                0.87534,                0.94992,                0.77361,                 0.7997,                 0.7742,                0.88806,                 1.1913,                 1.5038,             0.00087726,             0.00087726,             0.00087726
                     80,                0.30055,                0.26344,                0.87527,                0.86127,                0.77361,                0.80034,                0.77797,                0.83586,                 1.3028,                 1.4737,             0.00087019,             0.00087019,             0.00087019
                     81,                 0.2967,                0.26656,                0.87254,                0.93155,                0.77361,                0.80792,                0.77825,                0.82257,                 1.2663,                 1.4534,             0.00086312,             0.00086312,             0.00086312
